"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","125","test_example_domain[chromium]","tests","Thu Feb 05 08:00:01 UTC 2026","passed","Thu Feb 05 08:00:01 UTC 2026","","test_ui","",""
"","132","test_api_status_code","tests","Thu Feb 05 08:00:00 UTC 2026","passed","Thu Feb 05 08:00:00 UTC 2026","","test_api","",""
